BARGE,SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,EXTERNALCODE,CODE,PORT_FROM,IE,SCOPEINLOCATION,SCOPEOUTLOCATION
FRS,38301,2026-02-10 12:30:00+00:00,2026-02-11 05:00:00+00:00,38301.0,FRS0867,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38541,2026-02-12 18:00:00+00:00,2026-02-13 15:00:00+00:00,38541.0,FRS0868,KAT,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38541,2026-02-12 18:00:00+00:00,2026-02-13 15:00:00+00:00,38541.0,FRS0869,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38543,2026-02-15 04:00:00+00:00,2026-02-16 08:00:00+00:00,38543.0,FRS0870,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38543,2026-02-15 04:00:00+00:00,2026-02-16 08:00:00+00:00,38543.0,FRS0871,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38681,2026-02-17 21:00:00+00:00,2026-02-18 10:00:00+00:00,38681.0,FRS0872,KAT,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
FRS,38681,2026-02-17 21:00:00+00:00,2026-02-18 10:00:00+00:00,38681.0,FRS0873,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
FRS,38760,2026-02-20 01:00:00+00:00,2026-02-20 15:00:00+00:00,,,,,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38840,2026-02-22 14:30:00+00:00,2026-02-23 07:00:00+00:00,38840.0,FRS0876,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38840,2026-02-22 14:30:00+00:00,2026-02-23 07:00:00+00:00,38840.0,FRS0877,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38961,2026-02-24 15:00:00+00:00,2026-02-25 08:00:00+00:00,38961.0,FRS0878,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
FRS,38961,2026-02-24 15:00:00+00:00,2026-02-25 08:00:00+00:00,38961.0,FRS0879,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LEE,38701,2026-02-16 17:00:00+00:00,2026-02-17 09:00:00+00:00,38701.0,LEE0057,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LEE,38900,2026-02-23 07:00:00+00:00,2026-02-24 10:00:00+00:00,38900.0,LEE0060,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LEE,38900,2026-02-23 07:00:00+00:00,2026-02-24 10:00:00+00:00,38900.0,LEE0061,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LEE,39021,2026-02-25 17:00:00+00:00,2026-02-26 12:00:00+00:00,39021.0,LEE0062,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LEE,39021,2026-02-25 17:00:00+00:00,2026-02-26 12:00:00+00:00,39021.0,LEE0063,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LEH,38762,2026-02-18 17:00:00+00:00,2026-02-18 23:30:00+00:00,38762.0,LEH0043,TIEL,E,BRIENENOORDBRUG,BRIENENOORDBRUG
LRD,38140,2026-02-02 15:00:00+00:00,2026-02-03 06:00:00+00:00,38140.0,LRD0212,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38140,2026-02-02 15:00:00+00:00,2026-02-03 06:00:00+00:00,38140.0,LRD0213,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38202,2026-02-05 19:00:00+00:00,2026-02-06 08:00:00+00:00,38202.0,LRD0214,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38202,2026-02-05 19:00:00+00:00,2026-02-06 08:00:00+00:00,38202.0,LRD0215,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
LRD,38281,2026-02-07 17:00:00+00:00,2026-02-08 18:00:00+00:00,38281.0,LRD0216,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
