SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,SCOPEINLOCATION,SCOPEOUTLOCATION,EXTERNALCODE,CODE,IE,PORT_FROM,VOYELM_TOTALTEU,VOYELM_TOTALWEIGHT,VOYELM_MAXTEU,TOTAL20,TOTAL30,TOTAL40,UNITEXP_VOYAGE_EXP
38860,2026-02-25 11:00:00+00:00,2026-02-26 09:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38860.0,"MEY0172,MEY0173","E,I","ROTTE,TIEL",78.0,212653.0,156.0,12.0,0.0,28.0,10
38861,2026-02-24 06:00:00+00:00,2026-02-25 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38861.0,"ALL0048,ALL0049","E,I","ROTTE,VEGHE",76.5,831734.0,90.0,1.0,0.0,10.0,0
38880,2026-02-20 15:00:00+00:00,2026-02-20 23:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38880.0,AMO0001,E,OSS,0.0,0.0,72.0,0.0,0.0,36.0,0
38900,2026-02-23 07:00:00+00:00,2026-02-24 10:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38900.0,"LEE0060,LEE0061","E,I","ROTTE,VEGHE",160.0,483158.0,90.0,16.0,0.0,62.0,33
38920,2026-02-25 09:00:00+00:00,2026-02-25 15:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38920.0,AMI0235,I,ROTTE,0.0,0.0,208.0,5.0,0.0,58.0,0
38940,2026-02-23 07:00:00+00:00,2026-02-23 23:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38940.0,"LRD0228,LRD0229","E,I","ROTTE,VEGHE",138.0,2087191.0,105.0,22.0,0.0,58.0,10
38941,2026-02-24 17:00:00+00:00,2026-02-25 10:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38941.0,"VIC2731,VIC2732","E,I","ROTTE,VEGHE",0.0,0.0,108.0,14.0,0.0,70.0,2
38960,2026-02-26 16:00:00+00:00,2026-02-27 12:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38960.0,"AFS0771,AFS0772","E,I","ROTTE,TIEL",93.0,195400.0,156.0,22.0,0.0,66.0,24
38961,2026-02-24 15:00:00+00:00,2026-02-25 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38961.0,"FRS0878,FRS0879","E,I","OSS,ROTTE",0.0,0.0,156.0,6.0,0.0,134.0,0
38980,2026-02-26 19:30:00+00:00,2026-02-27 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38980.0,"ALL0050,ALL0051","E,I","ROTTE,VEGHE",0.0,0.0,90.0,0.0,0.0,60.0,0
38981,2026-02-25 08:00:00+00:00,2026-02-26 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38981.0,"ANT0774,ANT0775","E,I","ROTTE,VEGHE",0.0,0.0,156.0,1.0,0.0,13.0,3
38983,2026-03-01 15:00:00+00:00,2026-03-02 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38983.0,"AFS0773,AFS0774","E,I","KAT,ROTTE",0.0,0.0,156.0,12.0,0.0,69.0,44
39021,2026-02-25 17:00:00+00:00,2026-02-26 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,39021.0,"LEE0062,LEE0063","E,I","ROTTE,VEGHE",0.0,0.0,90.0,6.0,0.0,57.0,0
